    Freq      Node         Xundef          Yundef          Zundef            Xdef            Ydef            Zdef           Xdisp           Ydisp           Zdisp
 7.64560    154.0      2.05980000      0.00813460      0.05927600      2.05983323      0.01188034      0.05934875      0.00003323      0.00374574      0.00007275
 7.64560    155.0      2.05980000      0.01266700      0.07357700      2.05982151      0.01661438      0.07371358      0.00002151      0.00394738      0.00013658
 7.64560    156.0      2.05980000      0.01816300      0.08753600      2.05980697      0.02233559      0.08776125      0.00000697      0.00417259      0.00022525
 7.64560    157.0      2.05980000      0.02459700      0.10109000      2.05981045      0.02900887      0.10142888      0.00001045      0.00441187      0.00033888
 7.64560    158.0      2.05980000      0.03194100      0.11417000      2.05983084      0.03659748      0.11464622      0.00003084      0.00465648      0.00047622
 7.64560    159.0      2.05980000      0.04015800      0.12672000      2.05985424      0.04505693      0.12735500      0.00005424      0.00489893      0.00063500
 7.64560    160.0      2.05980000      0.04921200      0.13868000      2.05988070      0.05434556      0.13949263      0.00008070      0.00513356      0.00081263
 7.64560    161.0      2.05980000      0.05906100      0.15000000      2.05991022      0.06441764      0.15100682      0.00011022      0.00535664      0.00100682
 7.64560    162.0      2.04480000      0.05907000     -0.15000000      2.04491023      0.06437236     -0.14900081      0.00011023      0.00530236      0.00099919
 7.64560    163.0      2.04480000      0.04922100     -0.13868000      2.04488069      0.05430180     -0.13787369      0.00008069      0.00508080      0.00080631
 7.64560    164.0      2.04480000      0.04016600     -0.12672000      2.04485423      0.04501383     -0.12609009      0.00005423      0.00484783      0.00062991
 7.64560    165.0      2.04480000      0.03194800     -0.11417000      2.04483083      0.03655516     -0.11369773      0.00003083      0.00460716      0.00047227
 7.64560    166.0      2.04480000      0.02460400     -0.10109000      2.04481045      0.02896849     -0.10075400      0.00001045      0.00436449      0.00033600
 7.64560    167.0      2.04480000      0.01816800     -0.08753900      2.04480697      0.02229524     -0.08731568      0.00000697      0.00412724      0.00022332
 7.64560    168.0      2.04480000      0.01267100     -0.07358000      2.04482150      0.01657511     -0.07344455      0.00002150      0.00390411      0.00013545
 7.64560    169.0      2.04480000      0.00813840     -0.05927900      2.04483323      0.01184284     -0.05920677      0.00003323      0.00370444      0.00007223
 7.64560    170.0      2.04480000      0.00459070     -0.04470300      2.04484224      0.00812816     -0.04467120      0.00004224      0.00353746      0.00003180
 7.64560    171.0      2.04480000      0.00204460     -0.02991900      2.04484862      0.00545607     -0.02990811      0.00004862      0.00341147      0.00001089
 7.64560    172.0      2.04480000      0.00051198     -0.01499500      2.04485241      0.00384503     -0.01499009      0.00005241      0.00333305      0.00000491
 7.64560    173.0      2.04480000      0.00000000     -0.00000185      2.04485368      0.00330642      0.00000256      0.00005368      0.00330642      0.00000441
 7.64560    174.0      2.04480000      0.00051102      0.01499100      2.04485241      0.00384407      0.01499587      0.00005241      0.00333305      0.00000487
 7.64560    175.0      2.04480000      0.00204270      0.02991500      2.04484862      0.00545417      0.02992571      0.00004862      0.00341147      0.00001071
 7.64560    176.0      2.04480000      0.00458780      0.04470000      2.04484224      0.00812526      0.04473159      0.00004224      0.00353746      0.00003159
 7.64560    177.0      2.04480000      0.00813460      0.05927600      2.04483323      0.01183904      0.05934799      0.00003323      0.00370444      0.00007199
 7.64560    178.0      2.04480000      0.01266700      0.07357700      2.04482150      0.01657112      0.07371221      0.00002150      0.00390412      0.00013521
 7.64560    179.0      2.04480000      0.01816300      0.08753600      2.04480697      0.02229026      0.08775906      0.00000697      0.00412726      0.00022306
 7.64560    180.0      2.04480000      0.02459700      0.10109000      2.04481045      0.02896151      0.10142573      0.00001045      0.00436451      0.00033573
