    Node          RMS_X          RMS_Y          RMS_Z           Xdef           Ydef           Zdef
   249.0   0.0000077042   0.0019676481   0.0006212114   1.9996077042   0.0265646481   0.1017112114
   250.0   0.0000098552   0.0021821568   0.0007458513   1.9996098552   0.0341231568   0.1149158513
   251.0   0.0000152572   0.0023912144   0.0008866052   1.9996152572   0.0425492144   0.1276066052
   252.0   0.0000231586   0.0025924447   0.0010426716   1.9996231586   0.0518044447   0.1397226716
   253.0   0.0000332177   0.0027840433   0.0012131431   1.9996332177   0.0618450433   0.1512131431
   254.0   0.0000332278   0.0027546717   0.0012009483   1.9846332278   0.0618246717  -0.1487990517
   255.0   0.0000231552   0.0025648274   0.0010320444   1.9846231552   0.0517858274  -0.1376479556
   256.0   0.0000152516   0.0023654453   0.0008774191   1.9846152516   0.0425314453  -0.1258425809
   257.0   0.0000098531   0.0021583346   0.0007379838   1.9846098531   0.0341063346  -0.1134320162
   258.0   0.0000077049   0.0019458701   0.0006145411   1.9846077049   0.0265498701  -0.1004754589
   259.0   0.0000084291   0.0017310721   0.0005076478   1.9846084291   0.0198990721  -0.0870313522
   260.0   0.0000100654   0.0015178894   0.0004175767   1.9846100654   0.0141888894  -0.0731624233
   261.0   0.0000115237   0.0013118505   0.0003443523   1.9846115237   0.0094502505  -0.0589346477
   262.0   0.0000125566   0.0011213487   0.0002878276   1.9846125566   0.0057120487  -0.0444151724
   263.0   0.0000131913   0.0009596790   0.0002477585   1.9846131913   0.0030042790  -0.0296712415
   264.0   0.0000135194   0.0008467525   0.0002238699   1.9846135194   0.0013587325  -0.0147711301
   265.0   0.0000136189   0.0008053814   0.0002159328   1.9846136189   0.0008053816   0.0002140800
   266.0   0.0000135194   0.0008467564   0.0002238551   1.9846135194   0.0013577764   0.0152148551
   267.0   0.0000131913   0.0009596871   0.0002477283   1.9846131913   0.0030023871   0.0301627283
   268.0   0.0000125566   0.0011213612   0.0002877814   1.9846125566   0.0057091612   0.0449877814
   269.0   0.0000115238   0.0013118669   0.0003442897   1.9846115238   0.0094464669   0.0596202897
   270.0   0.0000100654   0.0015179113   0.0004174976   1.9846100654   0.0141849113   0.0739944976
   271.0   0.0000084291   0.0017310999   0.0005075528   1.9846084291   0.0198940999   0.0880435528
   272.0   0.0000077049   0.0019459054   0.0006144301   1.9846077049   0.0265429054   0.1017044301
   273.0   0.0000098531   0.0021583780   0.0007378575   1.9846098531   0.0340993780   0.1149078575
   274.0   0.0000152516   0.0023654983   0.0008772781   1.9846152516   0.0425234983   0.1275972781
   275.0   0.0000231552   0.0025648903   0.0010318894   1.9846231552   0.0517768903   0.1397118894
